# GitHub ↔ Pandora Mirror Manifest
# manifest_version: 1.0.0
# generated_at_utc: 2026-08-08T15:40:17Z
# correlation_id: portfolio-instructions-2026-08-08
# classification: historical_only
# current_operational_truth: authenticated /api/operator/status
# purpose: Historical exact integrity snapshot for the 25,000-business master contract, project instructions, and mapping queue.
# verification: project_registry_entries=21; instruction_records=22; hard_canon=21; historical_snapshot=1; sha256_verified_at_capture=22; source_linked_at_capture=22; versioned_at_capture=22; approval_audited_at_capture=22; stored_bytes_utf8_at_capture=156642
# proof_model: documented != implemented != tested != deployed != production-verified.
# historical_blocker_at_capture: MCP-PANDORA-CONNECTION-001 | open | Vercel Authentication intercepts the production MCP machine route and returns HTTP 401 before MCPMaster application authorization. | issue=banataosystems/Pandoras-box#4
# historical_next_action_at_capture: Restore authorized MCP machine access with negative identity proof, then complete the Bacolod 25K Census and Platform Readiness Blueprint.
project_key,record_type,repository,path,branch,commit_sha,blob_sha,sha256,bytes_utf8,memory_item_id,canon_status,idempotency_key
callgate,project_custom_instruction,banataosystems/callgate,PROJECT_CUSTOM_INSTRUCTION.md,main,b0377f3c808c68c0662e4b7b1a44909b186d6f1a,1ffd68eafc7a5e917d91c0adcd7e7fdec8c81943,1a578e49a2900741965d0d5bac70da7ac643dc73cdcca354c301ac4d95b044a4,6572,7cdaf658-21a9-4fc8-aec9-0d4cc43880ca,hard_canon,project-custom-instruction:v1:callgate:2026-08-08
worldstage-cherry,project_custom_instruction,banataosystems/nlp,PROJECT_CUSTOM_INSTRUCTION.md,main,fa323cefaf85d5405eba7fe460cdf9db3518b6f0,542df042d12344e48cd43c1b05f0cc645e125a38,4a795eaeac3a74f532708600ce3903ceeac6993da09257e3860a2f7155abe2dd,6808,d13de1a0-cae5-475e-89f7-6a452dadaf99,hard_canon,project-custom-instruction:v1:worldstage-cherry:2026-08-08
brokerage-os,project_custom_instruction,banataosystems/brokerage,PROJECT_CUSTOM_INSTRUCTION.md,main,b975748720f449c5b29abbbec0dd9d7bd44995fb,5bb223136a9abed2bcc5452f521172f9272ff5aa,11007e4369242049c64a74d9de1df729ed850bffff664fb136888124e54840fa,5940,a3195630-f8bb-4025-9ff0-a091fd5e7d7e,hard_canon,project-custom-instruction:v1:brokerage-os:2026-08-08
dating,project_custom_instruction,banataosystems/dating,PROJECT_CUSTOM_INSTRUCTION.md,main,57be2cda3e6f14eabf1280a75200fc1f82171a4f,77fdb9db3156b4e3c9ff15c20fc08f403fa4c45e,f8d77a42809798d9e3fc1d9c6f55c761568a7783e40b4ba02360a2ee12ada03a,5632,44cf5f13-10bc-46e7-993f-21bd1ff375c0,hard_canon,project-custom-instruction:v1:dating:2026-08-08
import-export,project_custom_instruction,banataosystems/import-export,PROJECT_CUSTOM_INSTRUCTION.md,main,b17661f9ad8f06791a4f19be3e0278132090d0bc,40cb8f03d19d1ad1504f5505beb658af01ac8f48,457ecff248ba74e59c8787b43aa4b2125b7896af374b2956d64ccbfbc63721ce,5687,a344c6c8-77ca-4ab6-952d-a85eb0853457,hard_canon,project-custom-instruction:v1:import-export:2026-08-08
shipping,project_custom_instruction,banataosystems/shipping,PROJECT_CUSTOM_INSTRUCTION.md,main,e28e8c0025dc1472671d9728784a3cdd3c466f88,9e4209fcdcc5866c6277fdcff3baaa27b721a618,ce2426b43421ab4fc31ab3133f500d1a121b18f7e9b96d994ee95661506ff5e1,5216,42b1c49f-acd0-4ff7-b618-595a68c190a3,hard_canon,project-custom-instruction:v1:shipping:2026-08-08
transportation,project_custom_instruction,banataosystems/transportation,PROJECT_CUSTOM_INSTRUCTION.md,main,c502ee631e12f59c7f6dd41bda39d1bccb0422b5,7a1bbf880dfab269377d5d1a3cd7d34f06a12649,c4e385c6789f339a656175324fa2daa6b888ed46730f0ba6c5faddb927b0e03c,5063,3584aa4a-939c-4d7b-81dd-2cc5a07a012e,hard_canon,project-custom-instruction:v1:transportation:2026-08-08
resort,project_custom_instruction,banataosystems/resort,PROJECT_CUSTOM_INSTRUCTION.md,main,254896c139c357553cdf6119fbeeadcbf65d5023,808543ca514f8f6c3e72504a1e659d9f2c5d9e7d,5c145c128d74c11a65d1055faa14064bdca81ff8db26488fb9faf1102cc190c9,5222,478343cf-f07c-419b-92ee-19c272af7b6b,hard_canon,project-custom-instruction:v1:resort:2026-08-08
laundry-os,project_custom_instruction,banataosystems/laumdry,PROJECT_CUSTOM_INSTRUCTION.md,main,6961ec9a12fe21f9e22a2159838cb63ee03d79ed,3f2463aca0031d4775815867e05703496ffbfb97,43f0cae2ec3a6a86efa2cd015eb41d8b899c5dd9b0792f17ccf1a42689ef7947,5157,0146e86a-057d-4197-94bb-a8407613869f,hard_canon,project-custom-instruction:v1:laundry-os:2026-08-08
school-os,project_custom_instruction,banataosystems/school,PROJECT_CUSTOM_INSTRUCTION.md,main,f1a4ed1ae4d3ba508f54cce9180260498abab924,6b71b2fde7cf20d1802eed5448d8c59275e0c9a1,38fbafbb31bed0ef4ca885b04808cf1a3e2e5c282463b83abeb032d8246d764c,5436,c532f3d2-012f-4b17-942a-51c9306d9eec,hard_canon,project-custom-instruction:v1:school-os:2026-08-08
trading-os,project_custom_instruction,banataosystems/trading,PROJECT_CUSTOM_INSTRUCTION.md,main,0e37fcd863c5dd0aa62efa78f22fed3abcd9a576,2afbf115d6930414ac756e05258d5ed8dde23ea7,6c861dfd7c33da1e75db4c08acff680b46c89ea058fc3a31c1d9f61d21a59477,5673,e1abfc87-24c7-4564-8743-5400cb0a9161,hard_canon,project-custom-instruction:v1:trading-os:2026-08-08
bsp-readiness,project_custom_instruction,banataosystems/bsp,PROJECT_CUSTOM_INSTRUCTION.md,main,1c368a9f0b86a997a665afc32c81f795f3e3feea,b35c72af9abf7a3301f484a49f5d4ca9ac0ac72a,c470f05ea4b44cd7cd685759b49cd1af7b4b389f18dc44a9944d68f09d21e5c5,5702,f8544dd9-f60e-488d-8b69-f9ac5536c16c,hard_canon,project-custom-instruction:v1:bsp-readiness:2026-08-08
